,blackHoleAccretionRate,blackHoleEddingtonRatio,redshift_x,galaxy_id,blackHoleMass,index,htmid_8,magNorm,redshift_y,M_i,ra,dec,seed,agn_sf_u,agn_sf_g,agn_sf_r,agn_sf_i,agn_sf_z,agn_sf_y,agn_tau_u,agn_tau_g,agn_tau_r,agn_tau_i,agn_tau_z,agn_tau_y
46,1323667.5759400255,0.0009461854170303341,0.7007773827302763,1876002636,63588707.7884915,46,147051,27.118044601362154,0.7007773827302763,-16.27758412773551,52.536925194492554,-27.772241233718763,9323945.0,1.709,1.501,1.326,1.208,1.128,1.069,299.9,315.2,330.7,342.8,352.0,359.4
47,2190406.3870240455,0.0023269143272239656,0.7143932094537881,1876002919,42787964.093930356,47,147049,26.515426737244248,0.7143932094537881,-16.950907427385204,52.75121662815309,-27.551985633535043,7766672.0,1.126,0.9913,0.877,0.7995,0.7471,0.7087,61.51,64.2,66.89,69.0,70.59,71.84
48,34286619.673557416,0.008802372612239172,0.7233315643137248,1876006997,177052572.19712004,48,147049,23.36377871265936,0.7233315643137248,-20.13889481233166,52.78200836730185,-27.554807004085454,9527852.0,0.7517,0.6607,0.5838,0.5317,0.4966,0.4708,176.5,185.3,194.1,201.0,206.3,210.4
49,23969223.73067872,0.0025146216807081564,0.7360554537962352,1876009699,433270013.51132965,49,147049,23.934665583445472,0.7360554537962352,-19.576629750600794,52.71133114932307,-27.569777403072052,8904302.0,1.053,0.925,0.8171,0.7441,0.6947,0.6586,93.91,98.57,103.2,106.9,109.7,111.9
50,22217798.940717265,0.005059580713707709,0.7222053405450368,1876010172,199601510.28220686,50,147049,23.91266232022205,0.7222053405450368,-19.589121455004566,52.813996770265234,-27.66374657628136,4643267.0,0.8539,0.75,0.6622,0.6028,0.5628,0.5334,53.12,55.71,58.31,60.35,61.89,63.11
51,17817581.653989125,0.0017615831662845594,0.6952476636219989,1876014081,459751257.0976154,51,147048,24.168370486283532,0.6952476636219989,-19.20389566759974,52.77516133258258,-27.895917388613633,3915300.0,1.158,1.017,0.8974,0.8167,0.7621,0.7222,332.6,351.5,370.6,385.7,397.1,406.2
52,1641906.821015431,0.001280436315471039,0.7649533049992563,1876140079,58286481.979792126,52,147174,26.9281441840848,0.7649533049992563,-16.554355100737624,52.827867550458244,-27.83260152490489,7934159.0,1.982,1.743,1.541,1.404,1.311,1.244,265.6,277.1,288.5,297.5,304.2,309.6
53,13451930.718684774,0.004034376842304471,0.7698835128542896,1876149834,151560307.87510347,53,147051,24.4583480782677,0.7698835128542896,-19.00979624997268,52.5731050421265,-27.853623168826505,503540.0,0.9296,0.8165,0.721,0.6564,0.6128,0.5808,211.7,220.4,229.1,235.9,241.0,245.0
54,9001624.884120373,0.0022975814103830044,0.7436314065740455,1876149839,178084992.1621753,54,147174,25.018257490098264,0.7436314065740455,-18.49389183275305,53.01301368830368,-27.65605723714823,6603950.0,1.276,1.122,0.9915,0.9033,0.8437,0.8001,110.5,115.4,120.3,124.2,127.1,129.4
55,440376.516522117,0.0016874697438559857,0.7696629375690212,1876152154,11862206.395255692,55,147048,28.31509263715029,0.7696629375690212,-15.153696201109941,52.65921751883314,-27.983472907257493,7936616.0,3.36,2.958,2.618,2.387,2.231,2.117,18.38,19.41,20.45,21.27,21.9,22.4
56,3267369.5875554057,0.0026023608640826433,0.7452350569742181,1876154526,57070024.9470168,56,147174,26.108293457488667,0.7452350569742181,-17.403253658064592,53.033773261984976,-27.670251209849365,2953594.0,1.401,1.234,1.092,0.9956,0.9306,0.8829,892.9,931.8,970.6,1001.0,1024.0,1042.0
57,13582380.149233066,0.0017959415599879446,0.7361582412633498,1876156546,343764479.66289866,57,147051,24.601466722713987,0.7361582412633498,-18.909886178185204,52.672155803055496,-27.80346827860634,5173943.0,1.111,0.9758,0.8618,0.7847,0.7326,0.6944,321.6,339.9,358.3,372.8,383.9,392.7
58,38936955.7624758,0.0013761396568346695,0.7408052719669362,1876158910,1286106113.414414,58,147051,23.48854832400668,0.7408052719669362,-20.024633114775217,52.505296616767275,-27.579853356348913,2903119.0,1.021,0.8986,0.7954,0.7254,0.6781,0.6434,168.1,176.0,183.9,190.1,194.8,198.5
59,8728117.797034912,0.0023109111562532618,0.7687617514213501,1876167506,171678009.3706342,59,147048,25.010462503769585,0.7687617514213501,-18.460957347865723,52.78117199350198,-27.86444507798146,1214461.0,1.151,1.014,0.8981,0.8196,0.7664,0.7275,154.5,159.8,165.2,169.3,172.4,174.8
60,4454146.465812436,0.004974416981371418,0.8135086543519863,1876313138,40700488.87129221,60,147172,25.852789204270575,0.8135086543519863,-17.83033627173652,52.793050209899455,-27.87069242680071,6879917.0,1.073,0.9443,0.8357,0.7621,0.7124,0.6759,75.55,78.55,81.55,83.88,85.63,87.02
61,14693255.911883326,0.0014330225739192365,0.8037432222822807,1876313360,466060535.87513834,61,147051,24.62970777960061,0.8037432222822807,-18.965000402489846,52.49945744107347,-27.66305551291043,3893023.0,1.324,1.163,1.028,0.9359,0.8739,0.8285,253.7,265.8,277.9,287.4,294.5,300.2
62,12699402.442856217,0.002598701782555137,0.8011418983955771,1876314052,222128437.15249425,62,147051,24.678619058537166,0.8011418983955771,-18.886846134375354,52.67342618894383,-27.685618589661487,7185172.0,1.074,0.9461,0.838,0.7647,0.7151,0.6788,236.3,246.8,257.4,265.7,271.9,276.9
63,378838.8322815085,0.0015669404431282897,0.8265596559471067,1876315406,10989535.050552592,63,147049,28.781341529671167,0.8265596559471067,-14.97906900226532,52.658476361483984,-27.596500184293028,1279919.0,3.071,2.71,2.405,2.197,2.056,1.953,140.9,147.9,155.0,160.5,164.7,168.0
64,6292176.907252624,0.0023437181234149695,0.8221051899596346,1876316182,122031757.30962943,64,147049,25.625501585155597,0.8221051899596346,-18.105214526949965,52.719016435043436,-27.627555276241058,6357866.0,1.203,1.059,0.9372,0.8545,0.7986,0.7577,231.1,242.1,253.1,261.7,268.3,273.5
